# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		7786		3014		2893
1		6689		4700		3041
2		5928		5921		3004
3		5455		6827		3068
4		5126		7565		3076
5		4834		8176		3105
6		4624		8757		3117
7		4378		9258		3135
8		4262		9700		3128
9		4148		10123		3137
10		3990		10483		3145
11		3898		10836		3158
12		3843		11147		3130
13		3781		11466		3153
14		3720		11814		3161
15		3623		12114		3175
16		3565		12422		3176
17		3490		12704		3188
18		3434		12961		3191
19		3334		13201		3196
20		3308		13422		3199
21		3272		13645		3204
22		3229		13864		3227
23		3187		14069		3203
24		3128		14252		3205
25		3085		14434		3203
26		3078		14611		3191
27		3045		14779		3207
28		3009		14939		3213
29		2985		15103		3216
30		2969		15311		3217
31		2929		15554		3226
32		2912		15755		3236
33		2887		15924		3223
34		2870		16113		3240
35		2853		16299		3233
36		2800		16480		3233
37		2777		16648		3234
38		2720		16800		3249
39		2719		16909		3258
40		2704		17033		3261
41		2686		17139		3258
42		2680		17259		3273
43		2643		17362		3273
44		2607		17469		3273
45		2599		17570		3263
46		2566		17690		3272
47		2564		17818		3284
48		2546		17927		3286
49		2511		18053		3272
50		2485		18179		3280
51		2462		18304		3299
52		2454		18435		3295
53		2437		18539		3279
54		2425		18639		3267
55		2404		18724		3264
56		2390		18807		3286
57		2369		18903		3280
58		2361		18985		3273
59		2347		19055		3267
60		2338		19148		3266
61		2327		19235		3286
62		2316		19293		3282
63		2304		19365		3287
64		2292		19447		3303
65		2280		19512		3300
66		2263		19574		3303
67		2252		19654		3308
68		2249		19719		3298
69		2245		19796		3304
70		2239		19848		3300
71		2217		19916		3298
72		2212		19956		3298
73		2206		20006		3308
74		2185		20064		3300
75		2172		20117		3297
76		2167		20152		3298
77		2161		20182		3297
78		2157		20199		3300
79		2155		20227		3301
80		2143		20258		3300
81		2141		20282		3306
82		2119		20319		3305
83		2115		20344		3307
84		2112		20362		3312
85		2110		20387		3319
86		2098		20420		3312
87		2096		20443		3313
88		2081		20471		3315
89		2076		20493		3318
90		2071		20526		3322
91		2061		20552		3322
92		2052		20574		3324
93		2049		20592		3328
94		2043		20607		3331
95		2035		20630		3329
96		2028		20654		3327
97		2022		20686		3326
98		2018		20704		3326
99		2017		20719		3325
100		2014		20742		3325
101		2006		20749		3323
102		1997		20760		3325
103		1990		20771		3332
104		1985		20778		3329
105		1981		20785		3331
106		1972		20800		3338
107		1966		20806		3338
108		1955		20812		3338
109		1945		20820		3342
110		1944		20823		3340
111		1941		20826		3341
112		1938		20831		3338
113		1934		20836		3339
114		1923		20845		3335
115		1919		20848		3336
116		1914		20851		3336
117		1913		20853		3334
118		1907		20857		3335
119		1904		20859		3335
120		1902		20861		3335
121		1902		20861		3335
122		1901		20865		3334
123		1899		20868		3336
124		1899		20868		3336
125		1896		20871		3335
126		1894		20872		3335
127		1892		20874		3333
128		1893		20875		3333
129		1892		20881		3338
130		1889		20883		3340
131		1889		20883		3340
132		1890		20884		3340
133		1890		20884		3340
134		1887		20886		3342
135		1884		20888		3342
136		1882		20889		3344
137		1882		20889		3344
138		1875		20893		3344
139		1870		20895		3346
140		1871		20896		3344
141		1867		20899		3345
142		1864		20904		3344
143		1864		20904		3344
144		1865		20905		3345
145		1865		20907		3345
146		1861		20909		3345
147		1859		20913		3345
148		1859		20915		3346
149		1858		20916		3345
150		1856		20917		3344
151		1854		20918		3344
152		1850		20921		3345
153		1850		20921		3345
