# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		3100		1563		1570
1		2338		2333		1704
2		2090		2766		1742
3		1980		3066		1752
4		1916		3296		1749
5		1870		3479		1762
6		1843		3643		1764
7		1833		3803		1757
8		1805		3948		1778
9		1774		4100		1763
10		1766		4218		1762
11		1757		4341		1765
12		1745		4447		1773
13		1734		4542		1778
14		1730		4633		1779
15		1731		4733		1778
16		1720		4836		1779
17		1718		4944		1779
18		1705		5025		1789
19		1697		5105		1791
20		1683		5173		1783
21		1686		5227		1776
22		1681		5297		1770
23		1688		5373		1774
24		1686		5432		1773
25		1691		5496		1761
26		1683		5567		1758
27		1687		5643		1774
28		1680		5699		1765
29		1690		5755		1761
30		1688		5823		1758
31		1678		5902		1760
32		1680		5958		1768
33		1684		6009		1778
34		1685		6066		1784
35		1675		6140		1783
36		1673		6189		1779
37		1673		6250		1783
38		1669		6305		1779
39		1676		6368		1777
40		1667		6421		1775
41		1663		6488		1776
42		1668		6539		1780
43		1662		6595		1764
44		1657		6635		1758
45		1656		6692		1767
46		1653		6729		1768
47		1647		6776		1763
48		1649		6821		1751
49		1646		6863		1756
50		1639		6910		1758
51		1645		6950		1764
52		1647		6990		1774
53		1641		7041		1771
54		1641		7074		1774
55		1643		7113		1766
56		1647		7155		1769
57		1645		7190		1769
58		1645		7229		1768
59		1646		7250		1773
60		1650		7288		1765
61		1653		7330		1765
62		1650		7370		1766
63		1650		7411		1749
64		1653		7461		1752
65		1652		7500		1768
66		1650		7546		1767
67		1650		7576		1776
68		1649		7619		1772
69		1648		7672		1767
70		1650		7714		1777
71		1645		7758		1771
72		1645		7797		1779
73		1647		7831		1787
74		1646		7878		1782
75		1646		7921		1780
76		1645		7958		1774
77		1649		8003		1770
78		1642		8043		1774
79		1641		8079		1769
80		1641		8113		1771
81		1640		8152		1770
82		1640		8183		1779
83		1641		8217		1788
84		1642		8243		1785
85		1634		8274		1788
86		1632		8309		1786
87		1632		8337		1782
88		1632		8363		1782
89		1630		8400		1791
90		1625		8439		1788
91		1625		8480		1790
92		1626		8513		1787
93		1615		8559		1785
94		1613		8588		1788
95		1612		8617		1782
96		1605		8647		1787
97		1606		8679		1792
98		1605		8708		1793
99		1605		8733		1790
100		1605		8754		1787
101		1604		8774		1785
102		1606		8806		1783
103		1603		8838		1794
104		1600		8861		1800
105		1600		8878		1797
106		1597		8904		1799
107		1599		8924		1798
108		1598		8949		1796
109		1594		8976		1803
110		1594		9000		1801
111		1591		9023		1797
112		1587		9042		1798
113		1585		9063		1799
114		1584		9082		1802
115		1580		9099		1792
